X_Value,Untitled,Untitled1
0.018200,17.201501,0.458529
0.018300,17.169720,-0.050054
0.018400,17.106157,0.458529
0.018500,17.137938,0.585675
0.018600,17.296844,0.172451
0.018700,17.296844,1.221404
0.018800,17.201501,0.967112
0.018900,17.360407,-1.798309
0.019000,20.125369,0.585675
0.019100,17.296844,-0.622210
0.019200,17.296844,-0.749356
0.019300,17.233282,0.839966
0.019400,17.233282,0.426743
0.019500,17.710000,0.394956
0.019600,17.042595,0.585675
0.019700,14.817913,0.458529
0.019800,17.519313,-0.208986
0.019900,16.597659,0.394956
0.020000,20.411399,0.426743
0.020100,17.423969,-0.781143
0.020200,17.328626,0.426743
0.020300,17.487531,-0.208986
0.020400,17.519313,0.490315
0.020500,17.614656,0.490315
0.020600,17.519313,0.363170
0.020700,17.423969,0.331383
0.020800,17.487531,0.363170
0.020900,17.551094,0.490315
0.021000,21.682646,0.490315
0.021100,17.582875,0.236024
0.021200,17.805343,-0.240773
0.021300,17.487531,1.157831
0.021400,17.551094,1.729987
0.021500,17.614656,1.062472
0.021600,17.614656,1.634628
0.021700,17.360407,0.967112
0.021800,17.741781,0.108878
0.021900,17.868905,0.363170
0.022000,17.074376,0.363170
0.022100,17.805343,0.522102
0.022200,18.822341,0.394956
0.022300,17.487531,0.458529
0.022400,19.044809,0.490315
0.022500,18.631654,0.458529
0.022600,17.614656,0.331383
0.022700,17.932468,0.553888
0.022800,17.741781,0.522102
0.022900,17.646437,0.553888
0.023000,17.805343,0.553888
0.023100,17.805343,0.331383
0.023200,18.027811,0.299597
0.023300,17.551094,0.490315
0.023400,17.678218,0.426743
0.023500,17.741781,0.108878
0.023600,17.710000,0.108878
0.023700,17.837124,0.871753
0.023800,17.678218,0.903539
0.023900,17.519313,1.157831
0.024000,17.614656,1.412123
0.024100,17.678218,-0.018268
0.024200,16.915470,-1.162580
0.024300,17.328626,0.490315
0.024400,17.169720,0.490315
0.024500,17.837124,0.458529
0.024600,18.536310,0.426743
0.024700,18.027811,0.617461
0.024800,13.038167,0.363170
0.024900,16.820127,0.490315
0.025000,17.519313,0.426743
0.025100,17.582875,0.426743
0.025200,16.947251,0.522102
0.025300,17.487531,0.585675
0.025400,17.423969,0.331383
0.025500,17.423969,0.490315
0.025600,17.360407,0.490315
0.025700,17.042595,0.426743
0.025800,17.296844,0.490315
0.025900,17.328626,0.681034
0.026000,17.519313,0.712821
0.026100,17.455750,0.108878
0.026200,17.296844,-0.399705
0.026300,17.360407,1.284977
0.026400,17.233282,0.172451
