pulsation;gain;phase
8.96;-44.1801856302;-170.437739387
8.98;-44.2186209821;-170.458905365
9.0;-44.2569721336;-170.479978134
9.02;-44.29523945;-170.500958306
9.04;-44.3334232942;-170.521846488
9.06;-44.3715240267;-170.542643281
9.08;-44.4095420059;-170.563349284
9.1;-44.4474775876;-170.583965086
9.12;-44.4853311255;-170.604491274
9.14;-44.5231029712;-170.624928431
9.16;-44.5607934738;-170.645277131
9.18;-44.5984029802;-170.665537947
9.2;-44.6359318353;-170.685711445
9.22;-44.6733803817;-170.705798186
9.24;-44.7107489598;-170.725798727
9.26;-44.7480379079;-170.745713621
9.28;-44.7852475622;-170.765543415
9.3;-44.8223782567;-170.785288651
9.32;-44.8594303235;-170.804949868
9.34;-44.8964040923;-170.8245276
9.36;-44.9332998912;-170.844022374
9.38;-44.9701180458;-170.863434717
9.4;-45.0068588799;-170.882765149
9.42;-45.0435227154;-170.902014184
9.44;-45.080109872;-170.921182336
9.46;-45.1166206674;-170.940270111
9.48;-45.1530554177;-170.959278012
9.5;-45.1894144366;-170.978206538
9.52;-45.2256980362;-170.997056185
9.54;-45.2619065265;-171.015827442
9.56;-45.2980402158;-171.034520797
9.58;-45.3340994102;-171.053136732
9.6;-45.3700844143;-171.071675726
9.62;-45.4059955307;-171.090138253
9.64;-45.4418330601;-171.108524785
9.66;-45.4775973013;-171.126835788
9.68;-45.5132885516;-171.145071726
9.7;-45.5489071064;-171.163233058
9.72;-45.584453259;-171.18132024
9.74;-45.6199273014;-171.199333723
9.76;-45.6553295236;-171.217273957
9.78;-45.6906602139;-171.235141385
9.8;-45.7259196589;-171.252936449
9.82;-45.7611081435;-171.270659588
9.84;-45.7962259509;-171.288311233
9.86;-45.8312733625;-171.305891817
9.88;-45.8662506583;-171.323401767
9.9;-45.9011581164;-171.340841506
9.92;-45.9359960133;-171.358211454
9.94;-45.9707646241;-171.37551203
9.96;-46.0054642219;-171.392743645
9.98;-46.0400950785;-171.409906712
